date,event_name,time,location,venue_series
2025-08-15,World Music Institute: Sunny Jain's Wild Wild East + Gamelan Dharma Swara,Time TBA,Bryant Park,Bryant Park
2025-08-16,Nick Hakim | Karriem Riggins (DJ set),Time TBA,"Lena Horne Bandshell, Prospect Park",BRIC Celebrate Brooklyn!
2025-08-16,Adia Victoria,19:00,"Rumsey Playfield, Central Park",SummerStage
2025-08-16,New York City Circus Festival,Time TBA,Bryant Park,Bryant Park
2025-08-17,Funk Flex R&B Birthday Picnic,Time TBA,SummerStage,SummerStage
2025-08-22,Belongó: Arturo O'Farrill and the Afro-Latin Jazz Orchestra,Time TBA,Bryant Park,Bryant Park
2025-08-29,Accordions Around the World: Livia Mattos and more,Time TBA,Bryant Park,Bryant Park
2025-08-30,The Town Hall: New York Loves Sly! Featuring Steven Bernstein,Time TBA,Bryant Park,Bryant Park
2025-09-04,New York City Opera: Carmen,Time TBA,Bryant Park,Bryant Park
2025-09-05,New York City Opera: Carmen,Time TBA,Bryant Park,Bryant Park
2025-09-12,American Symphony Orchestra: New York Profiles,Time TBA,Bryant Park,Bryant Park
2025-09-16,"Soccer Mommy, Hurray for the Riff Raff, and Dummy",Time TBA,SummerStage,SummerStage
